"ID";"Perioden";"TotaalAanbod_1";"WinningUitDeBodem_2";"ProductieUitAndereBronnen_3";"InvoerVanGasvormigAardgasTotaal_4";"InvoerViaNoorwegen_5";"InvoerViaDuitsland_6";"InvoerViaBelgie_7";"InvoerViaVerenigdKoninkrijk_8";"InvoerViaDenemarken_9";"InvoerVloeibaarAardgasLNGTotaal_10";"InvoerUitVerenigdeStaten_11";"InvoerUitNoorwegen_12";"InvoerUitRusland_13";"InvoerUitAfrika_14";"InvoerUitAzie_15";"InvoerUitAmerikaExclDeVS_16";"InvoerUitOverigOnbekend_17";"UitvoerVanGasvormigAardgasTotaal_18";"UitvoerNaarDuitsland_19";"UitvoerNaarBelgie_20";"UitvoerNaarVerenigdKoninkrijk_21";"UitvoerVanVloeibaarAardgasLNG_22";"Bunkering_23";"Voorraadmutatie_24";"TotaalVerbruik_25";"Energiebedrijven_26";"VerbruikBijWinningEnAardgastransport_27";"Eindvoorraad_28";"EindvoorraadGasvormigAardgas_29";"EindvoorraadVloeibaarAardgasLNG_30";"Fakkels_31";"OpslagcapaciteitTotaal_32";"OpslagcapaciteitGasvormig_33";"OpslagcapaciteitVloeibaar_34"
"20";"2016KW01";"   13405";"   13601";"      26";"   10221";"    3902";"    5179";"     455";"     578";"     108";"      93";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   16808";"    9064";"    5409";"    2334";"     159";"       0";"    6431";"   13405";"    2438";"     212";"       .";"       .";"       .";"      10";"   15880";"   15465";"     416"
"21";"2016MM04";"    3134";"    4574";"       7";"    3551";"    1600";"    1483";"     191";"     197";"      79";"     132";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4326";"    2466";"    1360";"     500";"      13";"       0";"    -790";"    3134";"     630";"      66";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
"22";"2016MM05";"    2284";"    4691";"       9";"    3832";"    1842";"    1287";"     453";"     184";"      66";"     249";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3897";"    2745";"    1125";"      26";"     133";"       0";"   -2467";"    2284";"     554";"      69";"       .";"       .";"       .";"       5";"   15880";"   15465";"     416"
"23";"2016MM06";"    2058";"    3912";"      10";"    3388";"    1502";"    1388";"     319";"      93";"      86";"     403";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3139";"    2067";"    1040";"      32";"     120";"       0";"   -2396";"    2058";"     644";"      51";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
"24";"2016KW02";"    7476";"   13177";"      25";"   10770";"    4945";"    4158";"     963";"     474";"     231";"     783";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   11361";"    7278";"    3525";"     558";"     266";"       0";"   -5653";"    7476";"    1828";"     186";"       .";"       .";"       .";"      12";"   15880";"   15465";"     416"
"25";"2016MM07";"    2103";"    4006";"      12";"    4076";"    1729";"    1461";"     698";"     120";"      68";"     101";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3400";"    2535";"     866";"       0";"     239";"       0";"   -2453";"    2103";"     711";"      64";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
"26";"2016MM08";"    2163";"    3911";"      11";"    2667";"    1115";"     976";"     374";"     178";"      25";"     240";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3268";"    2170";"    1085";"      13";"     210";"       0";"   -1188";"    2163";"     754";"      66";"       .";"       .";"       .";"       6";"   15880";"   15465";"     416"
"27";"2016MM09";"    2285";"    3493";"      14";"    2647";"     872";"    1248";"     409";"     101";"      16";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3302";"    2226";"    1056";"      20";"      15";"       0";"    -551";"    2285";"     848";"      57";"       .";"       .";"       .";"       6";"   14696";"   14281";"     416"
"28";"2016KW03";"    6551";"   11410";"      37";"    9390";"    3716";"    3685";"    1481";"     399";"     109";"     341";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    9970";"    6931";"    3006";"      33";"     464";"       0";"   -4192";"    6551";"    2312";"     187";"       .";"       .";"       .";"      17";"   14696";"   14281";"     416"
"29";"2016MM10";"    3367";"    3770";"      14";"    3689";"    1830";"    1191";"     423";"     148";"      97";"     305";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4646";"    2782";"    1457";"     407";"       7";"       0";"     243";"    3367";"     911";"      79";"       .";"       .";"       .";"       3";"   14696";"   14281";"     416"
"30";"2016MM11";"    4295";"    4126";"      14";"    4004";"    1882";"    1724";"     142";"     145";"     111";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6237";"    3029";"    2173";"    1036";"       3";"       0";"    2391";"    4295";"     991";"      78";"       .";"       .";"       .";"       3";"   14696";"   14281";"     416"
