"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLNGTotal_10";"ImportsViaTheUnitedStates_11";"ImportsViaNorway_12";"ImportsViaRussia_13";"ImportsViaAfrica_14";"ImportsViaAsia_15";"ImportsViaAmericaExcludingUS_16";"ImportsViaOtherUnknown_17";"ExportsOfGaseousNaturalGasTotal_18";"ExportsToNorway_19";"ExportsToGermany_20";"ExportsToBelgium_21";"ExportsToUnitedKingdom_22";"ExportsToDenmark_23";"ExportsOfLiquefiedNaturalGasLNG_24";"Bunkers_25";"StockChange_26";"TotalConsumption_27";"TotalViaTheMainGrid_28";"ElectricityPowerPlants_29";"OtherConsumers_30";"ViaRegionalGrids_31";"ConsumptionByProductionAndTransport_32";"ClosingStock_33";"ClosingStockGaseousGas_34";"ClosingStockLiquefiedNaturalGas_35";"Flaring_36";"StorageCapacityTotal_37";"StorageCapacityGaseousGas_38";"StorageCapacityLiquefiedNaturalGas_39"
"428";"2003MM11";"    4509";"    7356";"       1";"    1956";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4867";"";"";"";"";"";"";"       .";"      63";"    4509";"    2110";"     806";"    1304";"    2321";"      78";"       .";"";"";"       4";"";"";""
"429";"2003MM12";"    5309";"    9087";"       1";"    1963";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5810";"";"";"";"";"";"";"       .";"      68";"    5309";"    1947";"     796";"    1151";"    3281";"      81";"       .";"";"";"       5";"";"";""
"430";"2003KW04";"   14401";"   23367";"       3";"    5804";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   14968";"";"";"";"";"";"";"       .";"     195";"   14401";"    6217";"    2421";"    3796";"    7953";"     231";"       .";"";"";"      14";"";"";""
"431";"2004MM01";"    6008";"   11087";"       1";"    1364";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6449";"";"";"";"";"";"";"       .";"       5";"    6008";"    2325";"     833";"    1492";"    3616";"      67";"       .";"";"";"       4";"";"";""
"432";"2004MM02";"    5325";"    9692";"       1";"    1299";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5667";"";"";"";"";"";"";"       .";"       0";"    5325";"    2192";"     823";"    1369";"    3074";"      59";"       .";"";"";"       4";"";"";""
"433";"2004MM03";"    5011";"    8895";"       1";"    1446";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5328";"";"";"";"";"";"";"       .";"      -3";"    5011";"    2152";"     846";"    1306";"    2801";"      58";"       .";"";"";"       4";"";"";""
"434";"2004KW01";"   16344";"   29674";"       3";"    4109";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   17444";"";"";"";"";"";"";"       .";"       2";"   16344";"    6669";"    2502";"    4167";"    9491";"     184";"       .";"";"";"      12";"";"";""
"435";"2004MM04";"    3628";"    5423";"       1";"    1533";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3360";"";"";"";"";"";"";"       .";"      31";"    3628";"    1988";"     748";"    1240";"    1583";"      57";"       .";"";"";"       3";"";"";""
"436";"2004MM05";"    3100";"    4585";"       1";"    1690";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3175";"";"";"";"";"";"";"       .";"      -1";"    3100";"    1927";"     683";"    1244";"    1117";"      56";"       .";"";"";"       3";"";"";""
"437";"2004MM06";"    2737";"    3521";"       1";"    1667";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2456";"";"";"";"";"";"";"       .";"       4";"    2737";"    1920";"     641";"    1279";"     769";"      48";"       .";"";"";"       3";"";"";""
