"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"449";"2006MM05";"    2773";"    4402";"       2";"    2202";"";"";"";"";"";"";"    3432";"";"";"";"";"";"";"       .";"    -401";"    2773";"    1705";"     536";"    1169";"    1017";"      51";"       .";"";"";"       2";"";"";""
"450";"2006MM06";"    2469";"    3938";"       2";"    1932";"";"";"";"";"";"";"    3243";"";"";"";"";"";"";"       .";"    -160";"    2469";"    1691";"     559";"    1132";"     734";"      44";"       .";"";"";"       2";"";"";""
"451";"2006KW02";"    8843";"   14520";"       6";"    6091";"";"";"";"";"";"";"   11073";"";"";"";"";"";"";"       .";"    -701";"    8843";"    5138";"    1665";"    3473";"    3559";"     146";"       .";"";"";"       7";"";"";""
"452";"2006MM07";"    2406";"    3441";"       2";"    2204";"";"";"";"";"";"";"    2777";"";"";"";"";"";"";"       .";"    -464";"    2406";"    1857";"     702";"    1155";"     509";"      40";"       .";"";"";"       2";"";"";""
"453";"2006MM08";"    2511";"    3368";"       2";"    2225";"";"";"";"";"";"";"    2631";"";"";"";"";"";"";"       .";"    -453";"    2511";"    1786";"     645";"    1141";"     690";"      35";"       .";"";"";"       2";"";"";""
"454";"2006MM09";"    2450";"    2780";"       2";"    2157";"";"";"";"";"";"";"    2352";"";"";"";"";"";"";"       .";"    -137";"    2450";"    1767";"     680";"    1087";"     648";"      35";"       .";"";"";"       2";"";"";""
"455";"2006KW03";"    7367";"    9589";"       6";"    6586";"";"";"";"";"";"";"    7760";"";"";"";"";"";"";"       .";"   -1054";"    7367";"    5410";"    2027";"    3383";"    1847";"     110";"       .";"";"";"       6";"";"";""
"456";"2006MM10";"    3133";"    4009";"       2";"    2016";"";"";"";"";"";"";"    2963";"";"";"";"";"";"";"       .";"      69";"    3133";"    1951";"     726";"    1225";"    1140";"      42";"       .";"";"";"       2";"";"";""
"457";"2006MM11";"    4208";"    6868";"       2";"    1830";"";"";"";"";"";"";"    4574";"";"";"";"";"";"";"       .";"      82";"    4208";"    2138";"     816";"    1322";"    2019";"      51";"       .";"";"";"       3";"";"";""
"458";"2006MM12";"    4857";"    8689";"       2";"    2011";"";"";"";"";"";"";"    5925";"";"";"";"";"";"";"       .";"      80";"    4857";"    2111";"     749";"    1362";"    2691";"      55";"       .";"";"";"       3";"";"";""
